Title,Company,Location,Job_type,Job_url,Salary,Work Location,Date Posted,Current Date,Job_id
Quality Analyst,Actalent,"Independence, MO (Onsite)",Contractor,https://www.careerbuilder.com/job/J3M51W6T2PJQ45VHT94,,On-site,2024-01-31,2024-01-31,J3M51W6T2PJQ45VHT94
QC Technician,Actalent,"Clayton, NC (Onsite)",Contractor,https://www.careerbuilder.com/job/J3W4VL6DH37CFM6T8TK,,On-site,2024-01-31,2024-01-31,J3W4VL6DH37CFM6T8TK
Quality Control Analyst,Actalent,"Cranbury, NJ (Onsite)",Contractor,https://www.careerbuilder.com/job/J3Q1JK67R67VGXZ5RSG,,On-site,2024-01-31,2024-01-31,J3Q1JK67R67VGXZ5RSG
"TEMP Analyst I, Quality Control - Molecular Biology",Innova Solutions,"Bothell, MA (Onsite)",Contractor,https://www.careerbuilder.com/job/J3P3YM79RQLRKJZVPHZ,$25.00 - $33.00/Hour,On-site,2024-01-31,2024-01-31,J3P3YM79RQLRKJZVPHZ
Technology consultant,Innova Solutions,"San Francisco, CA (Remote)",Contractor,https://www.careerbuilder.com/job/J3R18C79CP3LTF1NYBB,$61.00 - $70.00/Hour,Remote,2024-01-31,2024-01-31,J3R18C79CP3LTF1NYBB
Phlebotomist,Innova Solutions,"Santa Rosa, CA (Onsite)",Contractor,https://www.careerbuilder.com/job/J3T4MJ6DLX0T9X7MB6L,$20.00 - $22.00/Hour,On-site,2024-01-30,2024-01-31,J3T4MJ6DLX0T9X7MB6L
Business Systems Analyst,Nesco Resource,"Branchburg, NJ (Onsite)",Contractor,https://www.careerbuilder.com/job/J3V4XX6D2H6TFW603JW,$0.97 - $99.00/Hour,On-site,2024-01-31,2024-01-31,J3V4XX6D2H6TFW603JW
Financial Admin - (Medical Billing),Nesco Resource,"West Palm Beach, FL (Onsite)",Contractor,https://www.careerbuilder.com/job/J3R6R271QHC85Z2KRMP,$27.00/Hour,On-site,2024-01-30,2024-01-31,J3R6R271QHC85Z2KRMP
Data Analyst,Nesco Resource,"North Canton, OH (Onsite)",Contractor,https://www.careerbuilder.com/job/J3R3WG6HKDDLCV2PCKK,$30.00/Hour,On-site,2024-01-29,2024-01-31,J3R3WG6HKDDLCV2PCKK
Business IT Analyst,Kforce Technology,"Work From Home, TX (Remote)",Contractor,https://www.careerbuilder.com/job/J3S34P5VHSR9T3866KL,$40.00 - $60.00/Hour,Remote,2024-01-31,2024-01-31,J3S34P5VHSR9T3866KL
