Title,City,Salary,EmploymentType,JobURL,Company,Posted_date,RemoteStatus,JobID,Current_Date_Time
Senior Class & Compensation Analyst {HR},Oakland,$47.71 / hr,Contractor,"https://www.ziprecruiter.com/c/Tryfacta/Job/Senior-Class-&-Compensation-Analyst-{HR}/-in-Oakland,CA?jid=345daacd9da57f8e",Tryfacta,2024-01-25T17:25:42Z,,345daacd9da57f8e,2024-01-30T23:26:27Z
Stability Analyst,Rocklin,$20 - $25 / hr,Contractor,"https://www.ziprecruiter.com/c/Ronin-Staffing,-LLC/Job/Stability-Analyst/-in-Rocklin,CA?jid=5eddba37f61ecfe4","Ronin Staffing, LLC",2024-01-24T20:17:24Z,,5eddba37f61ecfe4,2024-01-30T23:26:27Z
Lead Data Anlyst,Frisco,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Tekstripes-Llc/Job/Lead-Data-Anlyst/-in-Frisco,TX?jid=4be497b83f0e295c",Tekstripes Llc,2023-10-31T15:46:01Z,,4be497b83f0e295c,2024-01-30T23:26:27Z
Claims Recovery Data Analyst | Contract,Orange County,$30 - $42 / hr,Contractor,"https://www.ziprecruiter.com/c/Consilio-Enterprise-Talent-Solutions/Job/Claims-Recovery-Data-Analyst-|-Contract/-in-Orange-County,CA?jid=ef330983030051b2",Consilio - Enterprise Talent Solutions,2024-01-22T22:48:50Z,,ef330983030051b2,2024-01-30T23:26:27Z
Data Analytics Engineer,Santa Monica,$90K - $120K / yr,Contractor,"https://www.ziprecruiter.com/c/Oceanfront-Analytics/Job/Data-Analytics-Engineer/-in-Santa-Monica,CA?jid=6794a96540943187",Oceanfront Analytics,2023-08-30T14:37:45Z,,6794a96540943187,2024-01-30T23:26:27Z
Sr. Project Analyst,Newport Beach,$49 - $51 / hr,Contractor,"https://www.ziprecruiter.com/c/DB-HEALTHCARE-INC/Job/Sr.-Project-Analyst/-in-Newport-Beach,CA?jid=b8f38f3e28c5baf6",DB HEALTHCARE INC,2023-12-12T15:27:50Z,remote,b8f38f3e28c5baf6,2024-01-30T23:26:27Z
Data Analyst,Fremont,$50 - $55 / hr,Contractor,"https://www.ziprecruiter.com/c/TEKsystems/Job/Data-Analyst/-in-Fremont,CA?jid=b7805bc4ae425006",TEKsystems,2024-01-19T03:07:09Z,,b7805bc4ae425006,2024-01-30T23:26:27Z
REMOTE - Data Analyst,Remote,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Platinum-Resource-Group/Job/REMOTE-Data-Analyst/-in-Remote,OR?jid=8630e34d6771d89a",Platinum Resource Group,2024-01-23T08:00:00Z,remote,8630e34d6771d89a,2024-01-30T23:26:27Z
Data Analyst,Frisco,$0 / ,Contractor,"https://www.ziprecruiter.com/c/eTeam/Job/Data-Analyst/-in-Frisco,TX?jid=5481b18f8abd6431",eTeam,2022-04-08T12:53:33Z,,5481b18f8abd6431,2024-01-30T23:26:27Z
"Data Analyst Lead - Richardson, TX",Richardson,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Deegit-Inc/Job/Data-Analyst-Lead-Richardson,-TX/-in-Richardson,TX?jid=1e18680fcf5aee29",Deegit Inc,2015-09-21T00:00:00Z,,1e18680fcf5aee29,2024-01-30T23:26:27Z
Data Analyst I,Culver City,$34 - $39 / hr,Contractor,"https://www.ziprecruiter.com/c/MindSource/Job/Data-Analyst-I/-in-Culver-City,CA?jid=0baf84afe56be08b",MindSource,2024-01-11T08:00:00Z,remote,0baf84afe56be08b,2024-01-30T23:26:27Z
Technology Data & Reporting Analyst,Remote,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Abacus-Service-Corporation/Job/Technology-Data-&-Reporting-Analyst/-in-Remote,OR?jid=48dee10fb9341efc",Abacus Service Corporation,2023-08-01T17:19:24Z,remote,48dee10fb9341efc,2024-01-30T23:26:27Z
Data Analyst I-III,Myrtle Point,$15 - $24.70 / hr,Contractor,"https://www.ziprecruiter.com/c/InfoAge-Solutions-(IAS)/Job/Data-Analyst-I-III/-in-Myrtle-Point,OR?jid=647d7c634ccfd35c",InfoAge Solutions (IAS),2024-01-19T00:00:00Z,,647d7c634ccfd35c,2024-01-30T23:26:27Z
Looking for a Data analyst with our direct banking client,Plano,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Artech/Job/Looking-for-a-Data-analyst-with-our-direct-banking-client/-in-Plano,TX?jid=4035bf9df57fd074",Artech,2023-10-06T23:13:04Z,,4035bf9df57fd074,2024-01-30T23:26:27Z
Data Analyst,Antioch,$44 - $46.21 / hr,Contractor,"https://www.ziprecruiter.com/c/Alpha-Consulting-Corp./Job/Data-Analyst/-in-Antioch,IL?jid=7518e4f178a979d4",Alpha Consulting Corp.,2024-01-05T08:00:00Z,,7518e4f178a979d4,2024-01-30T23:26:27Z
Product Analyst,Burnsville,$25 - $33 / hr,Contractor,"https://www.ziprecruiter.com/c/Konik/Job/Product-Analyst/-in-Burnsville,MN?jid=cee7a3e738b2add2",Konik,2024-01-17T08:00:00Z,,cee7a3e738b2add2,2024-01-30T23:26:27Z
JR DATA ANALYST,Costa Mesa,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Skiltrek/Job/JR-DATA-ANALYST/-in-Costa-Mesa,CA?jid=37720fc7ff9779ef",Skiltrek,2023-04-28T07:00:00Z,remote,37720fc7ff9779ef,2024-01-30T23:26:27Z
Data Analyst,San Francisco,$60 - $63 / hr,Contractor,"https://www.ziprecruiter.com/c/Laboratory-Technician-|-St.-Cloud-Shines/Job/Data-Analyst/-in-San-Francisco,CA?jid=6b706d3c3fcd5c9f",Laboratory Technician | St. Cloud Shines,2023-09-01T07:00:00Z,remote,6b706d3c3fcd5c9f,2024-01-30T23:26:27Z
Product Data Analyst,Cupertino,$45 - $65 / hr,Contractor,"https://www.ziprecruiter.com/c/TEKsystems/Job/Product-Data-Analyst/-in-Cupertino,CA?jid=0b4597fe4c48e539",TEKsystems,2024-01-23T01:47:49Z,,0b4597fe4c48e539,2024-01-30T23:26:27Z
BUSINESS ANALYST,Addison,$0 / ,Contractor,"https://www.ziprecruiter.com/c/SHIRO-Technologies-Inc/Job/BUSINESS-ANALYST/-in-Addison,TX?jid=2004fb116661e78a",SHIRO Technologies Inc,2023-06-23T00:00:00Z,,2004fb116661e78a,2024-01-30T23:26:27Z
